Account number,Effective Date,Transaction Date,Description,Transaction Code,Particulars,Code,Reference,Other Party Name,Other Party Account Number,Other Party Particulars,Other Party Code,Other Party Reference,Amount,Balance
12-3456-0789012-00,2026-06-09,2026-06-11,POS W/D GAMESTORE.COM 00000000000-0000000 WAUS (INC. $0.32 INTERNATIONAL TRANSACTION FEE) GAMESTORE.COM 00000000000-0000000 WA,EFTPOS PURCHASE,,,,,,,,,-17.38,349.87
12-3456-0789012-00,2026-06-11,2026-06-11,RIDESHARE *TRIP HELP.RIDESHARE.COChristchurch,EFTPOS PURCHASE,,,,,,,,,-25.44,324.43
12-3456-0789012-00,2026-06-11,2026-06-11,TRANSFER FROM A N OTHER - 01,CREDIT TRANSFER,,,,A N OTHER,12-3456-0789012-01,,,,750.00,1074.43
12-3456-0789012-00,2026-06-11,2026-06-12,HARBOUR CAFE AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-10.00,1064.43
12-3456-0789012-00,2026-06-12,2026-06-13,HARBOUR CAFE AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-10.50,1053.93
12-3456-0789012-00,2026-06-14,2026-06-14,FRESH MART HIGHLAND PARK,EFTPOS PURCHASE,,,,,,,,,-83.72,970.21
12-3456-0789012-00,2026-06-15,2026-06-16,HARBOUR CAFE AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-9.00,961.21
12-3456-0789012-00,2026-06-15,2026-06-16,CITY TRANSPORT AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-6.00,955.21
12-3456-0789012-00,2026-06-16,2026-06-17,HARBOUR CAFE AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-8.50,946.71
12-3456-0789012-00,2026-06-18,2026-06-18,AP#00000000 TO HARBOUR PROPERTY GROUP RSMB000001 Rent 17 Sample Ave,DIRECT DEBIT,RSMB000001,Rent,17 Sample Ave,HARBOUR PROPERTY GROUP,12-4567-0023456-04,RSMB000001,Other,17 Sample Ave,-550.00,396.71
12-3456-0789012-00,2026-06-18,2026-06-18,TRANSFER FROM A N OTHER - 01,CREDIT TRANSFER,,,,A N OTHER,12-3456-0789012-01,,,,750.00,1146.71
12-3456-0789012-00,2026-06-18,2026-06-18,RIDESHARE *TRIP HELP.RIDESHARE.COChristchurch,EFTPOS PURCHASE,,,,,,,,,-13.05,1133.66
12-3456-0789012-00,2026-06-18,2026-06-18,TRANSFER FROM A N OTHER - 01,CREDIT TRANSFER,,,,A N OTHER,12-3456-0789012-01,,,,727.00,1860.66
12-3456-0789012-00,2026-06-18,2026-06-18,PAY MR A N OTHER Credit Card,DIRECT DEBIT,Credit Card,,,MR A N OTHER,12-9876-0054321-50,Credit Card,,,-727.00,1133.66
12-3456-0789012-00,2026-06-18,2026-06-19,THE LOCAL PANMURE AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-14.00,1119.66
12-3456-0789012-00,2026-06-18,2026-06-19,HARBOUR CAFE AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-1.80,1117.86
12-3456-0789012-00,2026-06-18,2026-06-19,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-11.00,1106.86
12-3456-0789012-00,2026-06-19,2026-06-19,Salary ACME INDUSTRIES LTD NZD,DIRECT CREDIT,,,,ACME INDUSTRIES LTD NZD,01-2345-0087654-00,,,,4288.57,5395.43
12-3456-0789012-00,2026-06-19,2026-06-19,PAY A N OTHER,DIRECT DEBIT,,,,A N OTHER,04-5678-0032109-51,,,,-150.00,5245.43
12-3456-0789012-00,2026-06-19,2026-06-19,TRANSFER TO A N OTHER - 01,DEBIT TRANSFER,,,,A N OTHER,12-3456-0789012-01,,,,-4228.93,1016.5
12-3456-0789012-00,2026-06-20,2026-06-20,FRESH MART HIGHLAND PARK,EFTPOS PURCHASE,,,,,,,,,-89.68,926.82
12-3456-0789012-00,2026-06-19,2026-06-20,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-2.50,924.32
12-3456-0789012-00,2026-06-19,2026-06-20,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-11.00,913.32
12-3456-0789012-00,2026-06-19,2026-06-20,CITY TRANSPORT AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-3.00,910.32
12-3456-0789012-00,2026-06-20,2026-06-21,CIVIC SOCIETY AOTEAROA TE ARO,EFTPOS PURCHASE,,,,,,,,,-10.00,900.32
12-3456-0789012-00,2026-06-20,2026-06-22,CITY TRANSPORT AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-6.00,894.32
12-3456-0789012-00,2026-06-22,2026-06-22,PAY HARBOUR PROPERTY GROUP Electricity 17 Sample Ave RSMB000001,DIRECT DEBIT,Electricity,17 Sample Ave,RSMB000001,HARBOUR PROPERTY GROUP,12-4567-0023456-04,Electricity,17 Sample Ave,RSMB000001,-129.84,764.48
12-3456-0789012-00,2026-06-22,2026-06-22,TRANSFER FROM A N OTHER - 01,CREDIT TRANSFER,,,,A N OTHER,12-3456-0789012-01,,,,250.00,1014.48
12-3456-0789012-00,2026-06-22,2026-06-23,HARDWARE HUB - 9453 BOTANY,EFTPOS PURCHASE,,,,,,,,,-68.02,946.46
12-3456-0789012-00,2026-06-22,2026-06-23,RIDESHARE *TRIP HELP.RIDESHARE.COChristchurch,EFTPOS PURCHASE,,,,,,,,,-12.59,933.87
12-3456-0789012-00,2026-06-22,2026-06-23,RIDESHARE *TRIP HELP.RIDESHARE.COChristchurch,EFTPOS PURCHASE,,,,,,,,,-12.85,921.02
12-3456-0789012-00,2026-06-23,2026-06-24,HARBOUR CAFE AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-1.80,919.22
12-3456-0789012-00,2026-06-23,2026-06-24,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-10.00,909.22
12-3456-0789012-00,2026-06-24,2026-06-25,DONATION TO GLOBAL AID WHANGAREI,EFTPOS PURCHASE,,,,,,,,,-20.00,889.22
12-3456-0789012-00,2026-06-25,2026-06-25,AP#00000000 TO HARBOUR PROPERTY GROUP RSMB000001 Rent 17 Sample Ave,DIRECT DEBIT,RSMB000001,Rent,17 Sample Ave,HARBOUR PROPERTY GROUP,12-4567-0023456-04,RSMB000001,Other,17 Sample Ave,-550.00,339.22
12-3456-0789012-00,2026-06-23,2026-06-25,MOBILENET PREPAID (3) AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-11.99,327.23
12-3456-0789012-00,2026-06-25,2026-06-25,TRANSFER FROM A N OTHER - 01,CREDIT TRANSFER,,,,A N OTHER,12-3456-0789012-01,,,,750.00,1077.23
12-3456-0789012-00,2026-06-25,2026-06-26,HARBOUR CAFE AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-8.50,1068.73
12-3456-0789012-00,2026-06-25,2026-06-26,HARBOUR CAFE AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-1.40,1067.33
12-3456-0789012-00,2026-06-26,2026-06-26,RIDESHARE *TRIP HELP.RIDESHARE.COChristchurch,EFTPOS PURCHASE,,,,,,,,,-13.34,1053.99
